

CodeIgniter CLI Tool - Version 4.0.3 - Server-Time: 2021-01-28 01:35:48am

+--------+-----------------------------+-------------------------------------------------------+
| Method | Route                       | Handler                                               |
+--------+-----------------------------+-------------------------------------------------------+
| GET    | /                           | \App\Controllers\LoginController::index               |
| GET    | test                        | \App\Controllers\LoginController::test                |
| GET    | logout                      | \App\Controllers\LoginController::sign_out            |
| GET    | user                        | \App\Controllers\User\UserController::index           |
| GET    | user/penjualan              | \App\Controllers\User\PenjualanController::index      |
| GET    | user/penjualan/new          | \App\Controllers\User\PenjualanController::new        |
| GET    | user/penjualan/(.*)/edit    | \App\Controllers\User\PenjualanController::edit/$1    |
| GET    | user/penjualan/(.*)         | \App\Controllers\User\PenjualanController::show/$1    |
| GET    | user/grafik/penjualan/(.*)  | \App\Controllers\User\PenjualanController::grafik/$1  |
| GET    | user/export/penjualan       | \App\Controllers\User\PenjualanController::export     |
| GET    | user/pdf/penjualan          | \App\Controllers\User\PenjualanController::exportPdf  |
| GET    | user/lahan                  | \App\Controllers\User\LahanController::index          |
| GET    | user/lahan/new              | \App\Controllers\User\LahanController::new            |
| GET    | user/lahan/(.*)/edit        | \App\Controllers\User\LahanController::edit/$1        |
| GET    | user/lahan/(.*)             | \App\Controllers\User\LahanController::show/$1        |
| GET    | user/export/lahan           | \App\Controllers\User\LahanController::export         |
| GET    | user/pdf/lahan              | \App\Controllers\User\LahanController::exportPdf      |
| GET    | user/calculate              | \App\Controllers\User\CalculateController::index      |
| GET    | user/pdf/calculate          | \App\Controllers\User\CalculateController::exportPdf  |
| GET    | user/laporan                | \App\Controllers\User\CalculateController::laporan    |
| GET    | user/account                | \App\Controllers\User\AccountController::index        |
| GET    | user/account/new            | \App\Controllers\User\AccountController::new          |
| GET    | user/account/(.*)/edit      | \App\Controllers\User\AccountController::edit/$1      |
| GET    | user/account/(.*)           | \App\Controllers\User\AccountController::show/$1      |
| GET    | user/master/kecamatan/(.*)  | \App\Controllers\User\KecamatanController::show/$1    |
| GET    | admin/export/penjualan      | \App\Controllers\Admin\PenjualanController::export    |
| GET    | admin/pdf/penjualan         | \App\Controllers\Admin\PenjualanController::exportPdf |
| GET    | admin/export/lahan          | \App\Controllers\Admin\LahanController::export        |
| GET    | admin/pdf/lahan             | \App\Controllers\Admin\LahanController::exportPdf     |
| GET    | admin/calculate             | \App\Controllers\Admin\CalculateController::index     |
| GET    | admin/pdf/calculate         | \App\Controllers\Admin\CalculateController::exportPdf |
| GET    | admin/laporan               | \App\Controllers\Admin\CalculateController::laporan   |
| GET    | admin                       | \App\Controllers\Admin\AdminController::index         |
| GET    | admin/master/user           | \App\Controllers\Admin\UserController::index          |
| GET    | admin/master/kecamatan      | \App\Controllers\Admin\KecamatanController::index     |
| GET    | admin/master/kecamatan/(.*) | \App\Controllers\Admin\KecamatanController::show/$1   |
| GET    | admin/master/desa           | \App\Controllers\Admin\DesaController::index          |
| GET    | admin/master/get/desa/(.*)  | \App\Controllers\Admin\DesaController::get/$1         |
| GET    | admin/export/desa           | \App\Controllers\Admin\DesaController::export         |
| GET    | admin/penjualan             | \App\Controllers\Admin\PenjualanController::index     |
| GET    | admin/penjualan/new         | \App\Controllers\Admin\PenjualanController::new       |
| GET    | admin/penjualan/(.*)/edit   | \App\Controllers\Admin\PenjualanController::edit/$1   |
| GET    | admin/penjualan/(.*)        | \App\Controllers\Admin\PenjualanController::show/$1   |
| GET    | admin/grafik/penjualan/(.*) | \App\Controllers\Admin\PenjualanController::grafik/$1 |
| GET    | admin/lahan                 | \App\Controllers\Admin\LahanController::index         |
| GET    | admin/lahan/new             | \App\Controllers\Admin\LahanController::new           |
| GET    | admin/lahan/(.*)/edit       | \App\Controllers\Admin\LahanController::edit/$1       |
| GET    | admin/lahan/(.*)            | \App\Controllers\Admin\LahanController::show/$1       |
| GET    | admin/account               | \App\Controllers\Admin\AccountController::index       |
| GET    | admin/account/new           | \App\Controllers\Admin\AccountController::new         |
| GET    | admin/account/(.*)/edit     | \App\Controllers\Admin\AccountController::edit/$1     |
| GET    | admin/account/(.*)          | \App\Controllers\Admin\AccountController::show/$1     |
| POST   | test                        | \App\Controllers\LoginController::test                |
| POST   | login                       | \App\Controllers\LoginController::index               |
| POST   | user/penjualan              | \App\Controllers\User\PenjualanController::create     |
| POST   | user/get/penjualan          | \App\Controllers\User\PenjualanController::get        |
| POST   | user/import/penjualan       | \App\Controllers\User\PenjualanController::import     |
| POST   | user/lahan                  | \App\Controllers\User\LahanController::create         |
| POST   | user/get/lahan              | \App\Controllers\User\LahanController::get            |
| POST   | user/import/lahan           | \App\Controllers\User\LahanController::import         |
| POST   | user/calculate              | \App\Controllers\User\CalculateController::index      |
| POST   | user/account                | \App\Controllers\User\AccountController::create       |
| POST   | admin/get/penjualan         | \App\Controllers\Admin\PenjualanController::get       |
| POST   | admin/import/penjualan      | \App\Controllers\Admin\PenjualanController::import    |
| POST   | admin/get/lahan             | \App\Controllers\Admin\LahanController::get           |
| POST   | admin/import/lahan          | \App\Controllers\Admin\LahanController::import        |
| POST   | admin/calculate             | \App\Controllers\Admin\CalculateController::index     |
| POST   | admin/master/user           | \App\Controllers\Admin\UserController::create         |
| POST   | admin/master/get/user       | \App\Controllers\Admin\UserController::get            |
| POST   | admin/master/user/(.*)      | \App\Controllers\Admin\UserController::update/$1      |
| POST   | admin/master/kecamatan      | \App\Controllers\Admin\KecamatanController::create    |
| POST   | admin/master/get/kecamatan  | \App\Controllers\Admin\KecamatanController::get       |
| POST   | admin/master/desa           | \App\Controllers\Admin\DesaController::create         |
| POST   | admin/master/get/desa       | \App\Controllers\Admin\DesaController::get            |
| POST   | admin/penjualan             | \App\Controllers\Admin\PenjualanController::create    |
| POST   | admin/lahan                 | \App\Controllers\Admin\LahanController::create        |
| POST   | admin/account               | \App\Controllers\Admin\AccountController::create      |
| PATCH  | user/penjualan/(.*)         | \App\Controllers\User\PenjualanController::update/$1  |
| PATCH  | user/lahan/(.*)             | \App\Controllers\User\LahanController::update/$1      |
| PATCH  | user/account/(.*)           | \App\Controllers\User\AccountController::update/$1    |
| PATCH  | admin/master/user/(.*)      | \App\Controllers\Admin\UserController::update/$1      |
| PATCH  | admin/master/kecamatan/(.*) | \App\Controllers\Admin\KecamatanController::update/$1 |
| PATCH  | admin/master/desa/(.*)      | \App\Controllers\Admin\DesaController::update/$1      |
| PATCH  | admin/penjualan/(.*)        | \App\Controllers\Admin\PenjualanController::update/$1 |
| PATCH  | admin/lahan/(.*)            | \App\Controllers\Admin\LahanController::update/$1     |
| PATCH  | admin/account/(.*)          | \App\Controllers\Admin\AccountController::update/$1   |
| PUT    | user/penjualan/(.*)         | \App\Controllers\User\PenjualanController::update/$1  |
| PUT    | user/lahan/(.*)             | \App\Controllers\User\LahanController::update/$1      |
| PUT    | user/account/(.*)           | \App\Controllers\User\AccountController::update/$1    |
| PUT    | admin/master/user/(.*)      | \App\Controllers\Admin\UserController::update/$1      |
| PUT    | admin/master/kecamatan/(.*) | \App\Controllers\Admin\KecamatanController::update/$1 |
| PUT    | admin/master/desa/(.*)      | \App\Controllers\Admin\DesaController::update/$1      |
| PUT    | admin/penjualan/(.*)        | \App\Controllers\Admin\PenjualanController::update/$1 |
| PUT    | admin/lahan/(.*)            | \App\Controllers\Admin\LahanController::update/$1     |
| DELETE | user/penjualan/(.*)         | \App\Controllers\User\PenjualanController::delete/$1  |
| DELETE | user/lahan/(.*)             | \App\Controllers\User\LahanController::delete/$1      |
| DELETE | user/account/(.*)           | \App\Controllers\User\AccountController::delete/$1    |
| DELETE | admin/master/user/(.*)      | \App\Controllers\Admin\UserController::delete/$1      |
| DELETE | admin/master/kecamatan/(.*) | \App\Controllers\Admin\KecamatanController::delete/$1 |
| DELETE | admin/master/desa/(.*)      | \App\Controllers\Admin\DesaController::delete/$1      |
| DELETE | admin/penjualan/(.*)        | \App\Controllers\Admin\PenjualanController::delete/$1 |
| DELETE | admin/lahan/(.*)            | \App\Controllers\Admin\LahanController::delete/$1     |
| DELETE | admin/account/(.*)          | \App\Controllers\Admin\AccountController::delete/$1   |
| CLI    | migrations/([^/]+)/([^/]+)  | \CodeIgniter\Commands\MigrationsCommand::$1/$2        |
| CLI    | migrations/([^/]+)          | \CodeIgniter\Commands\MigrationsCommand::$1           |
| CLI    | migrations                  | \CodeIgniter\Commands\MigrationsCommand::index        |
| CLI    | ci(.*)                      | \CodeIgniter\CLI\CommandRunner::index/$1              |
+--------+-----------------------------+-------------------------------------------------------+

